country,year,value
,2005,19
Greece,1964,1
,1965,1
,1992,15
,1993,10
,1994,18
,1996,19
,1997,31
,1998,9
,1999,3
,2000,2
,2001,2
,2003,6
,2004,22
,2005,13
,2006,23
Guatemala,1955,1
Guyana,1976,2
Hungary,1957,5
,1966,18
,1967,18
,1968,37
,1969,28
,1972,8
,1973,44
,1974,8
,1975,8
,1980,4
,1981,30
,1982,4
,1983,4
,1993,21
,1995,6
,1997,24
,2002,34
,2005,82
,2007,9
,2013,41
Iceland,1980,0
,1993,5
India,1959,1
,1968,1
,1971,6
,1972,2
,1973,21
,1974,24
,1975,31
,1978,27
,1979,22
,1982,2
,1987,0
,1988,1
,1989,0
,1990,3
,1991,0
,1992,1
,1993,9
,1994,2
,1995,2
,1996,0
,1997,0
,1998,0
,1999,0
,2000,21
,2001,2
,2002,0
,2003,4
,2004,27
,2005,19
,2006,33
,2007,21
,2008,11
,2009,27
,2010,5
,2011,3
,2013,11
,2014,55
Indonesia,1963,7
,1978,9
,1980,4
,1985,8
,1986,4
,1993,16
,1994,16
,1995,25
,1997,8
,1999,49
,2001,16
,2002,49
,2004,25
,2005,8
,2006,8
,2008,1
,2011,8
Iran,1962,3
,1967,28
,1970,23
,1971,6
,1972,106
,1973,6
,1974,123
,1975,84
,1980,0
,1981,0
,1982,0
,1983,0
,1984,1
,1985,1
,1986,1
,1987,1
,1988,1
,1989,1
,1990,1
,1991,1
,1992,1
,1993,1
,1994,1
,1995,1
,1996,2
,1997,1
,1998,0
,1999,0
,2000,0
,2001,0
,2002,3
,2003,9
,2004,1
,2005,2
,2006,75
